Year,Primary Job Title,Base Pay
2020,Associate Professor,118035.0
2015,Assistant Professor,89121.0
2016,Associate Professor,100058.32
2017,Associate Professor,100058.0
2018,Associate Professor,104677.0
2019,Associate Professor,107209.0
2020,Associate Professor,107209.0
2015,Associate Professor,116052.0
2016,Associate Professor,121282.33
2017,Professor,103126.0
2018,Professor,141556.0
2019,Professor,145578.0
2020,Professor,145578.0
2015,Associate Professor,149569.0
2016,Associate Professor,154087.21
2017,Associate Professor,154087.0
2018,Associate Professor,161087.0
2019,Associate Professor,164485.0
2020,Associate Professor,164485.0
2015,Professor,124000.0
2016,Professor,124000.0
2017,Professor,111600.0
2018,Professor,124000.0
2019,Professor,144300.0
2020,Professor,123458.0
2015,Associate Professor,77196.0
2016,Associate Professor,80993.81
2017,Associate Professor,80994.0
2018,Professor,105230.0
2019,Professor,98951.0
2020,Professor,98951.0
2015,Associate Professor,77214.0
2016,Associate Professor,80872.65
2017,Professor,88960.0
2018,Professor,95155.0
2019,Professor,98184.0
2020,Professor,98184.0
2015,Associate Professor,30000.0
2016,Associate Professor,30000.0
2017,Associate Professor,30000.0
2018,Associate Professor,30000.0
2019,Associate Professor,30000.0
2020,Associate Professor,30000.0
2015,Associate Professor,74576.0
2016,Associate Professor,77563.97
2017,Associate Professor,77564.0
2018,Associate Professor,82042.0
2019,Associate Professor,84587.0
2020,Associate Professor,84587.0
2015,Associate Professor,85329.0
2016,Associate Professor,88537.54
2017,Associate Professor,91500.0
2018,Associate Professor,94661.0
2019,Associate Professor,97308.0
2020,Associate Professor,97308.0
2015,Assistant Professor,105916.0
2016,Assistant Professor,108034.0
2017,Assistant Professor,109655.0
2018,Associate Professor,119512.0
2019,Associate Professor,124293.0
2020,Associate Professor,118078.0
2015,Professor,86911.0
2016,Professor,90586.89
2017,Professor,90587.0
2018,Professor,95235.0
2019,Professor,98034.0
2020,Professor,98034.0
2015,Assistant Professor,77724.0
2016,Assistant Professor,79861.41
2017,Assistant Professor,81059.0
2018,Assistant Professor,82275.0
2019,Assistant Professor,66807.0
2020,Assistant Professor,63634.0
2017,Assistant Professor,35000.0
2018,Associate Professor,35000.0
2019,Associate Professor,35000.0
2020,Associate Professor,35000.0
2020,Assistant Professor,15000.0
2015,Professor,147377.0
2016,Professor,154599.65
2017,Professor,154600.0
2018,Professor,162228.0
2019,Professor,166532.0
2020,Professor,166532.0
2015,Associate Professor,36751.0
2016,Associate Professor,36751.05
2017,Associate Professor,36751.0
2018,Associate Professor,36751.0
2019,Professor,36751.0
2020,Professor,81130.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Associate Professor,128603.0
2016,Associate Professor,132279.0
2017,Associate Professor,135926.0
2018,Associate Professor,136856.0
2019,Associate Professor,136970.0
2020,Associate Professor,130122.0
2015,Associate Professor,34500.0
2016,Associate Professor,34500.0
2017,Associate Professor,34500.0
2018,Associate Professor,34500.0
2019,Associate Professor,34500.0
2020,Associate Professor,34500.0
2020,Assistant Professor,100000.0
2017,Assistant Professor,35000.0
2018,Assistant Professor,129800.0
2019,Assistant Professor,129800.0
2020,Assistant Professor,123310.0
2015,Assistant Professor,22500.0
2016,Assistant Professor,22500.0
2017,Assistant Professor,22500.0
2018,Assistant Professor,22500.0
2019,Assistant Professor,22500.0
2020,Assistant Professor,22500.0
2015,Associate Professor,99485.0
2016,Associate Professor,102822.0
2017,Associate Professor,88572.0
2018,Associate Professor,93421.0
2019,Associate Professor,76029.0
2020,Associate Professor,76029.0
2015,Associate Professor,74403.0
2016,Associate Professor,76822.95
2017,Associate Professor,76823.0
2018,Associate Professor,82075.0
2019,Associate Professor,85177.0
2020,Associate Professor,85177.0
2015,Associate Professor,90587.0
2016,Professor,104122.14
2017,Professor,104122.0
2018,Professor,110890.0
2019,Professor,114165.0
2020,Professor,114165.0
2015,Professor,103172.0
2016,Professor,83052.0
2017,Professor,107441.0
2018,Professor,112007.0
2019,Professor,114631.0
2020,Professor,114631.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2020,Assistant Professor,66000.0
2015,Professor,89511.0
2016,Professor,92132.2
2017,Professor,92132.0
2018,Professor,75492.0
2019,Professor,100175.0
2020,Professor,75131.0
2015,Associate Professor,133000.0
